player_of_match,potm_awards
AB de Villiers,25
CH Gayle,22
RG Sharma,19
DA Warner,18
V Kohli,18
MS Dhoni,17
YK Pathan,16
RA Jadeja,16
SR Watson,16
SP Narine,15
AD Russell,15
KA Pollard,14
SK Raina,14
JC Buttler,13
KL Rahul,13
G Gambhir,13
AM Rahane,13
S Dhawan,12
MEK Hussey,12
A Mishra,12
Rashid Khan,12
RD Gaikwad,11
SV Samson,11
DR Smith,11
V Sehwag,11
JH Kallis,10
JJ Bumrah,10
AT Rayudu,10
Shubman Gill,10
UT Yadav,10
F du Plessis,10
SE Marsh,9
SA Yadav,9
GJ Maxwell,9
MP Stoinis,9
AR Patel,8
HH Pandya,8
Harbhajan Singh,8
RR Pant,8
SR Tendulkar,8
KD Karthik,7
Kuldeep Yadav,7
RV Uthappa,7
Sandeep Sharma,7
AC Gilchrist,7
SL Malinga,6
SS Iyer,6
Q de Kock,6
M Vijay,6
BJ Hodge,6
CV Varun,6
R Ashwin,6
B Kumar,6
YS Chahal,6
A Nehra,6
KS Williamson,6
KH Pandya,6
JM Bairstow,6
JD Unadkat,6
TA Boult,6
SPD Smith,5
DA Miller,5
SC Ganguly,5
Yuvraj Singh,5
NM Coulter-Nile,5
AJ Finch,5
WP Saha,5
PA Patel,5
MK Pandey,5
JP Faulkner,5
KC Sangakkara,5
MM Sharma,5
DW Steyn,5
YBK Jaiswal,5
N Rana,5
BB McCullum,5
DPMD Jayawardene,5
BA Stokes,5
HV Patel,4
Ishan Kishan,4
SK Warne,4
SM Curran,4
DP Conway,4
ML Hayden,4
JP Duminy,4
PP Shaw,4
Mohammed Siraj,4
MA Agarwal,4
Abhishek Sharma,4
DJ Bravo,4
CA Lynn,4
I Sharma,4
RA Tripathi,4
VR Iyer,3
A Kumble,3
TM Head,3
N Pooran,3
A Nortje,3
A Symonds,3
KK Nair,3
CH Morris,3
Harpreet Brar,3
SO Hetmyer,3
C Green,3
CJ Anderson,3
Mohammed Shami,3
LH Ferguson,3
MR Marsh,3
Mandeep Singh,3
MK Tiwary,3
L Balaji,3
MA Starc,3
LMP Simmons,3
M Vohra,3
LRPL Taylor,3
PP Chawla,3
KP Pietersen,3
R Vinay Kumar,3
RK Singh,3
Harmeet Singh,2
BW Hilfenhaus,2
D Padikkal,2
DE Bollinger,2
S Dube,2
DJ Hussey,2
S Gopal,2
S Nadeem,2
DL Chahar,2
SN Thakur,2
SM Pollock,2
SK Trivedi,2
ST Jayasuriya,2
Iqbal Abdulla,2
JA Morkel,2
HM Amla,2
B Sai Sudharsan,2
IK Pathan,2
GH Vihari,2
EJG Morgan,2
GC Smith,2
RM Patidar,2
R Parag,2
R Dravid,2
R Tewatia,2
R Sharma,2
PV Tambe,2
PWH de Silva,2
M Morkel,2
MG Johnson,2
MC Henriques,2
MM Ali,2
MM Patel,2
MJ McClenaghan,2
JJ Roy,2
K Rabada,2
KM Jadhav,2
KK Ahmed,2
M Pathirana,2
M Muralitharan,2
M Ntini,2
PJ Cummins,2
P Kumar,2
P Negi,2
MV Boucher,2
MP Yadav,2
Mustafizur Rahman,2
PC Valthaty,2
PD Salt,2
VR Aaron,2
Sohail Tanvir,2
Umran Malik,2
Azhar Mahmood,2
Avesh Khan,2
Shakib Al Hasan,2
Shivam Mavi,2
AB Dinda,2
AS Rajpoot,2
B Lee,2
AJ Tye,2
A Manohar,1
A Singh,1
A Zampa,1
AA Jhunjhunwala,1
AC Voges,1
AD Mascarenhas,1
AD Mathews,1
AP Tare,1
AS Joseph,1
Akash Madhwal,1
Anuj Rawat,1
Arshdeep Singh,1
Shahbaz Ahmed,1
Shashank Singh,1
Shoaib Akhtar,1
Sikandar Raza,1
Simarjeet Singh,1
TG Southee,1
TH David,1
TL Suman,1
TM Dilshan,1
Umar Gul,1
WD Parnell,1
WG Jacks,1
WPUJC Vaas,1
Washington Sundar,1
Yash Thakur,1
MS Bisla,1
MS Gony,1
Mohsin Khan,1
Mujeeb Ur Rahman,1
Mukesh Choudhary,1
NT Ellis,1
NV Ojha,1
Nithish Kumar Reddy,1
OF Smith,1
P Parameswaran,1
P Simran Singh,1
PD Collingwood,1
PK Garg,1
PN Mankad,1
L Ngidi,1
LJ Wright,1
LR Shukla,1
LS Livingstone,1
M Jansen,1
M Kartik,1
MA Wood,1
MD Mishra,1
MF Maharoof,1
MJ Lumb,1
MN Samuels,1
JD Ryder,1
JDP Oram,1
JEC Franklin,1
JO Holder,1
JR Hazlewood,1
KK Cooper,1
KMA Paul,1
KMDN Kulasekara,1
KS Bharat,1
KV Sharma,1
Kartik Tyagi,1
PP Ojha,1
R Bhatia,1
R McLaren,1
R Sai Kishore,1
R Shepherd,1
RD Chahar,1
RE Levi,1
RJ Harris,1
RP Singh,1
RR Rossouw,1
RS Bopara,1
S Anirudha,1
E Lewis,1
GD McGrath,1
GD Phillips,1
GJ Bailey,1
HC Brook,1
HF Gurney,1
HH Gibbs,1
Imran Tahir,1
J Botha,1
J Fraser-McGurk,1
J Little,1
J Theron,1
JC Archer,1
B Stanlake,1
BA Bhatt,1
BCJ Cutting,1
CJ Jordan,1
CL White,1
CR Brathwaite,1
CRD Fernando,1
DJ Hooda,1
DJG Sammy,1
DL Vettori,1
DP Nannes,1
DR Sams,1
S Aravind,1
S Badrinath,1
S Sohal,1
S Sreesanth,1
SA Asnodkar,1
SB Jakati,1
SB Wagh,1
SM Katich,1
SP Goswami,1
SW Billings,1
A Chandila,1
Z Khan,1
