venue,matches,avg_margin_runs,city
Arun Jaitley Stadium,14,15.3,Delhi
"Arun Jaitley Stadium, Delhi",16,20.8,Delhi
Barabati Stadium,7,13.3,Cuttack
"Barsapara Cricket Stadium, Guwahati",3,22.3,Guwahati
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,20.3,Lucknow
Brabourne Stadium,10,16.1,Mumbai
"Brabourne Stadium, Mumbai",17,16.7,Mumbai
Buffalo Park,3,31.3,East London
De Beers Diamond Oval,3,21.0,Kimberley
Dr DY Patil Sports Academy,17,15.4,Mumbai
"Dr DY Patil Sports Academy, Mumbai",20,17.2,Mumbai
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,24.0,Visakhapatnam
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,63.0,Visakhapatnam
Dubai International Cricket Stadium,46,20.4,Unknown
Eden Gardens,77,14.9,Kolkata
"Eden Gardens, Kolkata",16,15.2,Kolkata
Feroz Shah Kotla,60,18.1,Delhi
Green Park,4,5.5,Kanpur
Himachal Pradesh Cricket Association Stadium,9,33.6,Dharamsala
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,26.8,Dharamsala
Holkar Cricket Stadium,9,9.9,Indore
JSCA International Stadium Complex,7,9.3,Ranchi
Kingsmead,15,12.8,Durban
M Chinnaswamy Stadium,65,23.9,Bangalore
"M Chinnaswamy Stadium, Bengaluru",14,15.4,Bengaluru
M.Chinnaswamy Stadium,15,8.6,Bengaluru
MA Chidambaram Stadium,9,20.8,Chennai
"MA Chidambaram Stadium, Chepauk",48,17.6,Chennai
"MA Chidambaram Stadium, Chepauk, Chennai",28,17.8,Chennai
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,4.2,Mohali
Maharashtra Cricket Association Stadium,22,20.0,Pune
"Maharashtra Cricket Association Stadium, Pune",13,28.3,Pune
"Narendra Modi Stadium, Ahmedabad",24,15.6,Ahmedabad
Nehru Stadium,5,24.6,Kochi
New Wanderers Stadium,8,7.5,Johannesburg
Newlands,7,27.2,Cape Town
OUTsurance Oval,2,10.0,Bloemfontein
Punjab Cricket Association IS Bindra Stadium,10,8.6,Chandigarh
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,10.5,Chandigarh
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,19.8,Chandigarh
"Punjab Cricket Association Stadium, Mohali",35,17.9,Chandigarh
Rajiv Gandhi International Stadium,15,20.5,Hyderabad
"Rajiv Gandhi International Stadium, Uppal",49,14.0,Hyderabad
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,16.0,Hyderabad
"Sardar Patel Stadium, Motera",12,19.8,Ahmedabad
Saurashtra Cricket Association Stadium,10,13.1,Rajkot
Sawai Mansingh Stadium,47,15.8,Jaipur
"Sawai Mansingh Stadium, Jaipur",10,21.7,Jaipur
Shaheed Veer Narayan Singh International Stadium,6,7.7,Raipur
Sharjah Cricket Stadium,28,17.0,Unknown
Sheikh Zayed Stadium,29,19.2,Abu Dhabi
St George's Park,7,31.7,Port Elizabeth
Subrata Roy Sahara Stadium,16,19.2,Pune
SuperSport Park,12,10.8,Centurion
"Vidarbha Cricket Association Stadium, Jamtha",3,7.0,Nagpur
Wankhede Stadium,73,16.0,Mumbai
"Wankhede Stadium, Mumbai",45,13.0,Mumbai
"Zayed Cricket Stadium, Abu Dhabi",8,13.8,Abu Dhabi
